schema_version,study_version,run_id,script_id,theme,presentation_level,model_slot,requested_model_id,context_condition,repetition,generation_config_version,planned_seed,execution_order,status,error_type,error_message
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_minimax_no_preloaded_context_r2,monitoring_ambiguous_v1,monitoring,ambiguous,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,11,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_nemotron_standardised_preloaded_context_r1,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,12,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_minimax_no_preloaded_context_r1,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,13,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_nemotron_no_preloaded_context_r2,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,14,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_minimax_standardised_preloaded_context_r2,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,15,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_nemotron_no_preloaded_context_r2,personal_messages_control_v1,personal_messages,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,16,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_minimax_standardised_preloaded_context_r1,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,17,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_nemotron_no_preloaded_context_r2,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,18,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_nemotron_no_preloaded_context_r1,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,19,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_nemotron_standardised_preloaded_context_r1,personal_messages_control_v1,personal_messages,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,20,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_minimax_standardised_preloaded_context_r1,ai_relationship_control_v1,ai_relationship,control,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,21,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_nemotron_standardised_preloaded_context_r1,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,22,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_minimax_standardised_preloaded_context_r1,personal_messages_control_v1,personal_messages,control,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,23,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_nemotron_no_preloaded_context_r1,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,24,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_minimax_no_preloaded_context_r1,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,25,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_minimax_standardised_preloaded_context_r1,monitoring_ambiguous_v1,monitoring,ambiguous,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,26,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_nemotron_no_preloaded_context_r1,monitoring_ambiguous_v1,monitoring,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,27,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_minimax_no_preloaded_context_r1,personal_messages_control_v1,personal_messages,control,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,28,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_nemotron_standardised_preloaded_context_r2,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,29,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_nemotron_standardised_preloaded_context_r2,monitoring_ambiguous_v1,monitoring,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,30,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_minimax_no_preloaded_context_r2,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,31,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_minimax_standardised_preloaded_context_r1,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,32,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_nemotron_no_preloaded_context_r1,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,33,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_nemotron_no_preloaded_context_r2,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,34,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_minimax_standardised_preloaded_context_r2,monitoring_ambiguous_v1,monitoring,ambiguous,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,35,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_nemotron_standardised_preloaded_context_r1,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,36,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_nemotron_no_preloaded_context_r2,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,37,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_minimax_no_preloaded_context_r2,personal_messages_control_v1,personal_messages,control,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,38,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_nemotron_no_preloaded_context_r2,monitoring_control_v1,monitoring,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,39,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_minimax_no_preloaded_context_r2,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,40,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_nemotron_standardised_preloaded_context_r2,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,41,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_minimax_standardised_preloaded_context_r2,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,42,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_minimax_standardised_preloaded_context_r2,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,43,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_nemotron_standardised_preloaded_context_r2,monitoring_control_v1,monitoring,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,44,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_minimax_no_preloaded_context_r2,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,45,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_nemotron_standardised_preloaded_context_r1,monitoring_control_v1,monitoring,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,46,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_minimax_no_preloaded_context_r1,monitoring_ambiguous_v1,monitoring,ambiguous,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,47,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_ambiguous_v1_model_nemotron_no_preloaded_context_r2,monitoring_ambiguous_v1,monitoring,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,48,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_nemotron_standardised_preloaded_context_r2,personal_messages_control_v1,personal_messages,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,49,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_control_v1_model_minimax_no_preloaded_context_r1,monitoring_control_v1,monitoring,control,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,50,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_minimax_no_preloaded_context_r2,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,51,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_nemotron_no_preloaded_context_r1,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,52,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_minimax_no_preloaded_context_r1,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,53,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_minimax_standardised_preloaded_context_r2,ai_relationship_control_v1,ai_relationship,control,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,54,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_nemotron_standardised_preloaded_context_r1,ai_relationship_control_v1,ai_relationship,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,55,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_minimax_no_preloaded_context_r2,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,56,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_nemotron_standardised_preloaded_context_r2,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,57,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_minimax_no_preloaded_context_r1,ai_relationship_control_v1,ai_relationship,control,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,58,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_nemotron_no_preloaded_context_r1,ai_relationship_control_v1,ai_relationship,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,59,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_minimax_standardised_preloaded_context_r1,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,60,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_fixed_belief_v1_model_minimax_no_preloaded_context_r1,ai_relationship_fixed_belief_v1,ai_relationship,fixed_belief,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,61,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_control_v1_model_minimax_standardised_preloaded_context_r2,personal_messages_control_v1,personal_messages,control,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,62,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_minimax_no_preloaded_context_r2,ai_relationship_control_v1,ai_relationship,control,model_minimax,minimax/minimax-m3:free,no_preloaded_context,2,generation-v3,20260815,63,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_nemotron_no_preloaded_context_r2,ai_relationship_control_v1,ai_relationship,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,2,generation-v3,20260815,64,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_control_v1_model_nemotron_standardised_preloaded_context_r2,ai_relationship_control_v1,ai_relationship,control,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,65,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_ambiguous_v1_model_nemotron_standardised_preloaded_context_r2,personal_messages_ambiguous_v1,personal_messages,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,66,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_nemotron_standardised_preloaded_context_r2,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,2,generation-v3,20260815,67,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_minimax_no_preloaded_context_r1,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_minimax,minimax/minimax-m3:free,no_preloaded_context,1,generation-v3,20260814,68,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_nemotron_standardised_preloaded_context_r1,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,standardised_preloaded_context,1,generation-v3,20260814,69,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_ai_relationship_ambiguous_v1_model_nemotron_no_preloaded_context_r1,ai_relationship_ambiguous_v1,ai_relationship,ambiguous,model_nemotron,nvidia/nemotron-3-super-120b-a12b:free,no_preloaded_context,1,generation-v3,20260814,70,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_personal_messages_fixed_belief_v1_model_minimax_standardised_preloaded_context_r1,personal_messages_fixed_belief_v1,personal_messages,fixed_belief,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,1,generation-v3,20260814,71,planned,,
2.0.0,study-v2.0.0,study-v2.0.0_monitoring_fixed_belief_v1_model_minimax_standardised_preloaded_context_r2,monitoring_fixed_belief_v1,monitoring,fixed_belief,model_minimax,minimax/minimax-m3:free,standardised_preloaded_context,2,generation-v3,20260815,72,planned,,
